application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,FALSE,3.3,Business,Asian,620,3,Financial Services,Admit
2,Male,FALSE,3.28,Humanities,Black,680,5,Investment Management,Deny
3,Female,TRUE,3.3,Business,International,710,5,Technology,Admit
4,Male,FALSE,3.47,STEM,Black,690,6,Technology,Deny
5,Male,FALSE,3.35,STEM,Hispanic,590,5,Consulting,Deny
6,Male,FALSE,3.18,Business,White,610,6,Consulting,Deny
7,Female,FALSE,2.93,STEM,Other,590,3,Technology,Admit
8,Male,TRUE,3.02,Business,International,630,6,Financial Services,Deny
9,Male,FALSE,3.24,Business,White,590,2,Nonprofit/Gov,Deny
10,Male,FALSE,3.27,Humanities,Asian,690,3,Consulting,Deny
11,Male,FALSE,3.05,Humanities,White,580,5,Technology,Deny
12,Male,TRUE,2.85,Humanities,International,580,4,PE/VC,Deny
13,Female,FALSE,3.24,Humanities,Hispanic,640,6,PE/VC,Waitlist
14,Female,FALSE,3.39,Business,Black,690,4,Nonprofit/Gov,Deny
15,Female,FALSE,3.03,STEM,White,600,5,Technology,Admit
16,Female,TRUE,3.05,Humanities,International,710,4,Consulting,Admit
17,Female,FALSE,3.32,Business,Asian,710,5,PE/VC,Admit
18,Male,FALSE,3.23,Humanities,Black,700,4,Health Care,Deny
19,Male,FALSE,3.13,Humanities,White,630,6,Financial Services,Deny
20,Male,TRUE,3.09,Business,International,670,8,Consulting,Deny
21,Male,FALSE,3.46,Business,White,760,5,Investment Banking,Admit
22,Female,FALSE,3.64,Humanities,Black,710,6,Financial Services,Deny
23,Female,TRUE,3.42,Business,International,640,6,Consulting,Admit
24,Male,FALSE,3.4,Business,White,680,6,PE/VC,Deny
25,Female,FALSE,3.47,STEM,White,710,5,Consulting,Admit
26,Male,FALSE,3.26,Humanities,Asian,690,5,Technology,Admit
27,Male,TRUE,2.99,STEM,International,640,5,Consulting,Deny
28,Male,FALSE,3.39,STEM,Other,730,4,Other,Deny
29,Male,FALSE,3.08,Business,Asian,570,7,Retail,Deny
30,Male,TRUE,3.65,STEM,International,700,5,Consulting,Admit
31,Male,TRUE,3.04,STEM,International,610,4,Consulting,Deny
32,Male,FALSE,3.19,Humanities,White,580,5,PE/VC,Deny
33,Male,FALSE,3.33,Humanities,Black,700,6,Investment Banking,Deny
34,Female,FALSE,3.53,STEM,White,710,5,Consulting,Admit
35,Male,FALSE,3.5,Business,White,650,7,Consulting,Deny
36,Male,TRUE,3.22,Humanities,International,670,4,Other,Deny
37,Male,FALSE,3.5,STEM,Hispanic,720,5,Health Care,Deny
38,Female,FALSE,3.16,STEM,Black,590,4,Investment Management,Deny
39,Female,FALSE,3.3,Humanities,Asian,740,6,Investment Banking,Admit
40,Female,FALSE,3.45,Humanities,Asian,640,3,PE/VC,Admit
41,Female,TRUE,3.12,Business,International,610,4,PE/VC,Admit
42,Female,TRUE,3.41,Business,International,600,7,Nonprofit/Gov,Admit
43,Male,FALSE,3.38,Humanities,Asian,720,5,Consulting,Deny
44,Female,FALSE,2.93,Humanities,Other,590,4,Consulting,Admit
45,Male,FALSE,3.27,STEM,Other,650,5,Consulting,Deny
46,Male,FALSE,3.32,STEM,Asian,730,4,Health Care,Deny
47,Male,TRUE,3.13,Humanities,International,610,5,PE/VC,Deny
