gender,international,gpa,major,race,gmat,Work_exp,Work_industry,Age,Recomendation letter,Personal interview Score,Income,Marital status,Admission
Female,FALSE,3.3,Business,Asian,620,3,Financial Services,30,Excellent,3,"$106,303.00 ",married,Admit
Male,FALSE,3.28,Humanities,Black,680,5,Investment Management,37,Good,3,"$93,439.00 ",married,Deny
Female,TRUE,3.3,Business,International,710,5,Technology,28,Excellent,4,"$134,565.00 ",married,Admit
Male,FALSE,3.47,STEM,Black,690,6,Technology,36,Excellent,4,"$140,704.00 ",married,Deny
Male,FALSE,3.35,STEM,Hispanic,590,5,Consulting,32,Excellent,5,"$156,887.00 ",married,Deny
Male,FALSE,3.18,Business,White,610,6,Consulting,31,Good,4,"$113,273.00 ",Unmarried,Deny
Female,FALSE,2.93,STEM,Other,590,3,Technology,29,Good,4,"$132,530.00 ",married,Admit
Male,TRUE,3.02,Business,International,630,6,Financial Services,34,Excellent,3,"$147,671.00 ",married,Deny
Male,FALSE,3.24,Business,White,590,2,Nonprofit/Gov,26,Good,4,"$67,742.00 ",married,Deny
Male,FALSE,3.27,Humanities,Asian,690,3,Consulting,29,Excellent,2,"$175,100.00 ",married,Deny
Male,FALSE,3.05,Humanities,White,580,5,Technology,33,Excellent,3,"$130,562.00 ",married,Deny
Male,TRUE,2.85,Humanities,International,580,4,PE/VC,34,Good,5,"$560,361.00 ",married,Deny
Female,FALSE,3.24,Humanities,Hispanic,640,6,PE/VC,35,Good,2,"$416,829.00 ",Unmarried,Deny
Female,FALSE,3.39,Business,Black,690,4,Nonprofit/Gov,26,Good,3,"$72,173.00 ",Unmarried,Deny
Female,FALSE,3.03,STEM,White,600,5,Technology,28,Good,4,"$121,642.00 ",Unmarried,Admit
Female,TRUE,3.05,Humanities,International,710,4,Consulting,31,Good,5,"$71,133.00 ",married,Admit
Female,FALSE,3.32,Business,Asian,710,5,PE/VC,26,Good,2,"$515,792.00 ",married,Admit
Male,FALSE,3.23,Humanities,Black,700,4,Health Care,36,Good,1,"$103,032.00 ",married,Deny
Male,FALSE,3.13,Humanities,White,630,6,Financial Services,33,Excellent,5,"$108,560.00 ",married,Deny
Male,TRUE,3.09,Business,International,670,8,Consulting,35,Good,2,"$98,641.00 ",married,Deny
Male,FALSE,3.46,Business,White,760,5,Investment Banking,29,Good,4,"$176,045.00 ",married,Admit
Female,FALSE,3.64,Humanities,Black,710,6,Financial Services,28,Excellent,4,"$139,943.00 ",married,Deny
Female,TRUE,3.42,Business,International,640,6,Consulting,29,Excellent,4,"$189,900.00 ",married,Admit
Male,FALSE,3.4,Business,White,680,6,PE/VC,31,Good,2,"$724,670.00 ",married,Deny
Female,FALSE,3.47,STEM,White,710,5,Consulting,29,Excellent,3,"$216,180.00 ",Unmarried,Admit
Male,FALSE,3.26,Humanities,Asian,690,5,Technology,35,Excellent,5,"$120,473.00 ",Unmarried,Admit
Male,TRUE,2.99,STEM,International,640,5,Consulting,26,Excellent,1,"$110,264.00 ",married,Deny
Male,FALSE,3.39,STEM,Other,730,4,Other,35,Good,5,"$60,822.00 ",Unmarried,Deny
Male,FALSE,3.08,Business,Asian,570,7,Retail,35,Good,3,"$66,896.00 ",Unmarried,Deny
Male,TRUE,3.65,STEM,International,700,5,Consulting,33,Good,3,"$160,985.00 ",married,Admit
Male,TRUE,3.04,STEM,International,610,4,Consulting,29,Good,1,"$77,921.00 ",married,Deny
Male,FALSE,3.19,Humanities,White,580,5,PE/VC,37,Excellent,3,"$862,925.00 ",married,Deny
Male,FALSE,3.33,Humanities,Black,700,6,Investment Banking,32,Regular,3,"$191,682.00 ",Unmarried,Deny
Female,FALSE,3.53,STEM,White,710,5,Consulting,28,Good,3,"$161,072.00 ",Unmarried,Admit
Male,FALSE,3.5,Business,White,650,7,Consulting,28,Regular,3,"$194,592.00 ",married,Deny
Male,TRUE,3.22,Humanities,International,670,4,Other,29,Excellent,5,"$52,992.00 ",married,Deny
Male,FALSE,3.5,STEM,Hispanic,720,5,Health Care,27,Excellent,5,"$117,962.00 ",married,Deny
Female,FALSE,3.16,STEM,Black,590,4,Investment Management,37,Excellent,5,"$124,310.00 ",Unmarried,Deny
Female,FALSE,3.3,Humanities,Asian,740,6,Investment Banking,32,Excellent,5,"$173,712.00 ",married,Admit
Female,FALSE,3.45,Humanities,Asian,640,3,PE/VC,36,Regular,3,"$334,233.00 ",Unmarried,Admit
Female,TRUE,3.12,Business,International,610,4,PE/VC,35,Good,4,"$771,993.00 ",Unmarried,Admit
Female,TRUE,3.41,Business,International,600,7,Nonprofit/Gov,28,Excellent,3,"$71,327.00 ",Unmarried,Admit
Male,FALSE,3.38,Humanities,Asian,720,5,Consulting,35,Excellent,4,"$139,971.00 ",married,Deny
Female,FALSE,2.93,Humanities,Other,590,4,Consulting,28,Good,4,"$147,342.00 ",married,Admit
Male,FALSE,3.27,STEM,Other,650,5,Consulting,35,Good,5,"$194,427.00 ",married,Deny
Male,FALSE,3.32,STEM,Asian,730,4,Health Care,32,Excellent,2,"$87,490.00 ",married,Deny
Male,TRUE,3.13,Humanities,International,610,5,PE/VC,33,Good,3,"$475,662.00 ",married,Deny
Male,FALSE,3.33,STEM,Hispanic,720,7,Consulting,30,Good,4,"$72,957.00 ",married,Admit
Male,FALSE,3.23,STEM,Black,660,6,Other,27,Good,5,"$49,906.00 ",married,Deny
Male,FALSE,3.38,STEM,Hispanic,680,5,Consulting,37,Excellent,5,"$150,108.00 ",married,Deny
Male,FALSE,3.26,Business,White,670,6,Consulting,32,Good,5,"$182,958.00 ",married,Deny
Male,FALSE,3.43,Business,Asian,650,4,Nonprofit/Gov,26,Excellent,3,"$79,158.00 ",married,Deny
Male,FALSE,3.19,Business,White,650,5,Financial Services,36,Good,4,"$122,779.00 ",Unmarried,Deny
Female,FALSE,3.23,STEM,Asian,700,6,PE/VC,33,Good,5,"$379,137.00 ",married,Admit
Male,FALSE,2.96,STEM,Black,610,6,Consulting,35,Excellent,4,"$198,378.00 ",married,Deny
Female,FALSE,3.44,STEM,Black,680,4,PE/VC,34,Good,3,"$710,300.00 ",married,Deny
Male,FALSE,3.09,Business,Other,610,6,Consulting,31,Good,3,"$211,351.00 ",married,Deny
Female,TRUE,3.05,Business,International,650,7,Health Care,35,Good,1,"$99,611.00 ",Unmarried,Admit
Male,TRUE,3.01,Humanities,International,660,6,Consulting,27,Good,3,"$182,949.00 ",Unmarried,Deny
Male,FALSE,3.41,Humanities,White,740,4,Financial Services,26,Good,5,"$103,220.00 ",Unmarried,Deny
Female,FALSE,3.27,Business,White,670,5,Consulting,37,Good,5,"$154,466.00 ",Unmarried,Admit
Male,FALSE,3.13,Humanities,Black,630,5,Financial Services,34,Good,4,"$101,058.00 ",Unmarried,Deny
Female,TRUE,3,STEM,International,640,3,Financial Services,35,Excellent,4,"$148,695.00 ",Unmarried,Admit
Male,FALSE,3.36,STEM,Black,650,5,Technology,35,Excellent,3,"$139,854.00 ",married,Deny
Female,FALSE,3.39,Humanities,White,680,5,Investment Banking,27,Good,3,"$152,872.00 ",Unmarried,Admit
Male,TRUE,3.31,Business,International,670,4,Nonprofit/Gov,28,Excellent,4,"$64,828.00 ",Unmarried,Deny
Male,FALSE,3.07,STEM,Other,570,6,Other,37,Good,4,"$60,514.00 ",Unmarried,Deny
Male,FALSE,3.53,STEM,White,690,5,Technology,34,Good,3,"$132,323.00 ",married,Deny
Male,FALSE,3.49,Business,Black,620,4,Energy,26,Excellent,4,"$111,949.00 ",Unmarried,Deny
Male,FALSE,3.41,Humanities,White,690,6,Technology,27,Good,1,"$138,496.00 ",Unmarried,Admit
Male,TRUE,3.34,STEM,International,690,5,Nonprofit/Gov,27,Excellent,5,"$55,051.00 ",Unmarried,Deny
Female,FALSE,3.33,Humanities,Hispanic,680,5,Consulting,27,Excellent,4,"$94,077.00 ",Unmarried,Deny
Female,TRUE,3.34,STEM,International,680,5,PE/VC,26,Excellent,3,"$552,032.00 ",married,Admit
Female,TRUE,2.89,Humanities,International,670,5,Consulting,35,Excellent,3,"$181,205.00 ",Unmarried,Admit
Female,TRUE,3.35,Business,International,640,5,PE/VC,28,Excellent,4,"$753,762.00 ",Unmarried,Admit
Female,FALSE,3.24,Humanities,Hispanic,590,4,Nonprofit/Gov,34,Good,5,"$63,178.00 ",married,Deny
Male,FALSE,3.18,Humanities,Black,640,4,PE/VC,33,Good,3,"$762,051.00 ",married,Deny
Male,TRUE,3.2,Humanities,International,640,5,Nonprofit/Gov,33,Good,2,"$84,473.00 ",married,Deny
Male,FALSE,3.17,Business,Hispanic,640,4,Other,34,Good,5,"$46,372.00 ",married,Deny
Female,FALSE,3.1,STEM,Asian,680,4,Health Care,33,Good,3,"$94,521.00 ",Unmarried,Admit
Male,FALSE,2.93,Humanities,Hispanic,620,4,Technology,30,Good,5,"$121,255.00 ",Unmarried,Deny
Male,TRUE,3.2,STEM,International,730,4,PE/VC,35,Good,5,"$329,546.00 ",married,Deny
Male,FALSE,3.52,STEM,Hispanic,610,6,Consulting,29,Good,4,"$129,544.00 ",Unmarried,Deny
