Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,,2020 Population,2020VS1970,2020VS2010,2020VS2015,2015 Population,2015vs2010,2010 Population,2010vs2000,2000 Population,2000vs1990,1990 Population,1990vs1980,1980 Population,1980vs1970,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
36,AFG,Afghanistan,Kabul,Asia,41128771,1.218503925,38972230,3.624322059,1.3825003,1.154613037,33753499,1.197371115,28189672,1.442444761,19542982,1.82733565,10694796,0.856499724,12486631,1.161226139,10752971,652230,63.0587,1.0257,0.52
138,ALB,Albania,Tirana,Europe,2842321,0.986067558,2866849,1.233196013,0.984022099,0.994576894,2882481,0.989387653,2913399,0.915581324,3182021,0.965692645,3295066,1.120141716,2941651,1.265372639,2324731,28748,98.8702,0.9957,0.04
34,DZA,Algeria,Algiers,Africa,44903225,1.135549911,43451666,3.149603778,1.211826448,1.098841686,39543154,1.102821693,35856344,1.16512707,30774621,1.205993093,25518074,1.361735379,18739378,1.358328027,13795915,2381741,18.8531,1.0164,0.56
213,ASM,American Samoa,Pago Pago,Oceania,44273,0.861878991,46189,1.705964912,0.84211198,0.899178477,51368,0.93653485,54849,0.941937146,58230,1.217742273,47818,1.454053397,32886,1.214626039,27075,199,222.4774,0.9831,0
203,AND,Andorra,Andorra la Vella,Europe,79824,1.112591643,77700,3.912386707,1.086424586,1.082987205,71746,1.003173982,71519,1.082030955,66097,1.233866602,53569,1.504282385,35611,1.793101712,19860,468,170.5641,1.01,0
42,AGO,Angola,Luanda,Africa,35588987,1.265263794,33428485,5.543971508,1.430757589,1.188453377,28127721,1.203881967,23364185,1.42516144,16394062,1.385963625,11828638,1.41999655,8330047,1.381502728,6029700,1246700,28.5466,1.0315,0.45
224,AIA,Anguilla,The Valley,America,15857,1.091703959,15585,2.480502944,1.183191619,1.072977625,14525,1.102717886,13172,1.192359917,11047,1.328403078,8316,1.267682927,6560,1.044087219,6283,91,174.2527,1.0066,0
201,ATG,Antigua and Barbuda,Saint John’s,America,93763,1.042494524,92664,1.436294873,1.081323298,1.030275403,89941,1.049547815,85695,1.141762707,75055,1.185178752,63328,0.975958575,64888,1.005766012,64516,442,212.1335,1.0058,0
33,ARG,Argentina,Buenos Aires,America,45510318,1.052089826,45036032,1.888873217,1.095763923,1.041125467,43257065,1.052480184,41100123,1.108693414,37070774,1.135828286,32637657,1.16459898,28024803,1.17539884,23842803,2780400,16.3683,1.0052,0.57
140,ARM,Armenia,Yerevan,Asia,2780469,0.965911842,2805608,1.107020779,0.952250167,0.974644922,2878595,0.977022652,2946293,0.92986322,3168523,0.890900676,3556539,1.134417693,3135123,1.237038925,2534377,29743,93.4831,0.9962,0.03
198,ABW,Aruba,Oranjestad,America,106445,1.0209866,106585,1.803285622,1.062227803,1.022329436,104257,1.039026918,100341,1.126148977,89101,1.355931945,65712,1.055326256,62267,1.053480188,59106,180,591.3611,0.9991,0
55,AUS,Australia,Canberra,Oceania,26177413,1.098956912,25670051,2.038108909,1.165804766,1.077657291,23820236,1.081795461,22019168,1.157808962,19017963,1.11555371,17048003,1.159229548,14706322,1.167628607,12595034,7692024,3.4032,1.0099,0.33
99,AUT,Austria,Vienna,Europe,8939617,1.034388049,8907777,1.193224091,1.065163116,1.030703897,8642421,1.033432706,8362829,1.04399278,8010428,1.043197123,7678729,1.017378859,7547561,1.01101898,7465301,83871,106.5877,1.002,0.11
91,AZE,Azerbaijan,Baku,Asia,10358074,1.050143965,10284951,1.895732729,1.113427096,1.042730456,9863480,1.067799535,9237202,1.127817085,8190337,1.102654528,7427836,1.163679489,6383060,1.176532173,5425317,86600,119.6082,1.0044,0.13
176,BHS,Bahamas,Nassau,America,409984,1.044021217,406471,2.269152399,1.088940505,1.035075389,392697,1.052039799,373272,1.148479758,325014,1.200735927,270679,1.209727734,223752,1.249110976,179129,13943,29.4043,1.0051,0.01
154,BHR,Bahrain,Manama,Asia,1472233,1.08082197,1477469,6.638669093,1.217381524,1.084665916,1362142,1.122356208,1213645,1.705894507,711442,1.374985022,517418,1.426986031,362595,1.629237717,222555,765,1924.4876,1.0061,0.02
8,BGD,Bangladesh,Dhaka,Asia,171186372,1.084625052,167420951,2.478773179,1.128240892,1.060767604,157830000,1.063607983,148391139,1.148597551,129193327,1.205750437,107147651,1.276634708,83929765,1.242633309,67541860,147570,1160.035,1.0108,2.15
186,BRB,Barbados,Bridgetown,America,281635,1.012773165,280693,1.162785784,1.021775611,1.009385687,278083,1.012274718,274711,1.037988793,264657,1.022362749,258868,1.020873509,253575,1.050448017,241397,430,654.9651,1.0015,0
96,BLR,Belarus,Minsk,Europe,9534954,0.982923237,9633740,1.050481387,0.989961698,0.993106721,9700609,0.996833147,9731427,0.948807403,10256483,0.983502748,10428525,1.062264643,9817257,1.070492431,9170786,207600,45.9295,0.9955,0.12
81,BEL,Belgium,Brussels,Europe,11655930,1.036238978,11561717,1.200671466,1.062858368,1.027863225,11248303,1.034046498,10877947,1.059780153,10264343,1.030602055,9959560,1.013284585,9828986,1.020729277,9629376,30528,381.8111,1.0038,0.15
177,BLZ,Belize,Belmopan,America,405272,1.126159096,394921,3.266374426,1.226059123,1.097396011,359871,1.117244013,322106,1.339841768,240406,1.316651058,182589,1.258080519,145133,1.200388735,120905,22966,17.6466,1.0131,0.01
77,BEN,Benin,Porto-Novo,Africa,13352864,1.221360014,12643123,4.181697158,1.338504252,1.156441411,10932783,1.157433692,9445710,1.349768356,6998023,1.363228484,5133419,1.33894123,3833939,1.268070541,3023443,112622,118.5635,1.0274,0.17
206,BMU,Bermuda,Hamilton,America,64184,1.01647029,64031,1.230915627,1.009204533,1.014047257,63144,0.99522436,63447,1.033827052,61371,1.067878893,57470,1.072902082,53565,1.02971991,52019,54,1188.5926,1,0
165,BTN,Bhutan,Thimphu,Asia,782455,1.052714073,772506,2.584548368,1.09495178,1.0393287,743274,1.053518276,705516,1.201477503,587207,1.051509378,558442,1.344810563,415257,1.38931193,298894,38394,20.3796,1.0064,0.01
80,BOL,Bolivia,Sucre,America,12224110,1.102255754,11936162,2.602913453,1.167548348,1.0762913,11090085,1.084788429,10223270,1.189768332,8592656,1.210882341,7096194,1.237113866,5736088,1.250866118,4585693,1098581,11.1272,1.012,0.15
